car_price_in_rupees,kms_driven,fuel_type,city,company,model,age,price_per_km,price_per_year,km_per_year
575000.0,19630,Petrol,Mumbai,Hyundai,Grand i10 Asta 1.2 Kappa VTVT,8,29.29040802811879,63888.88888888889,2181.1111111111113
745000.0,42218,Petrol,Mumbai,Honda,City VX,9,17.646083516899974,74500.0,4221.8
708000.0,69553,Petrol,Chennai,Toyota,Glanza G,6,10.179141386548581,101142.85714285714,9936.142857142857
338000.0,48448,Petrol,Delhi,Maruti Suzuki,Alto K10 VXi AMT [2014-2018],8,6.976408181799418,37555.555555555555,5383.111111111111
484000.0,60167,Petrol,Delhi,Tata,Tiago Revotron XT [2016-2019],6,8.044143066081638,69142.85714285714,8595.285714285714
395000.0,61000,Petrol,Noida,Honda,City 1.5 V MT,13,6.475303683546171,28214.285714285714,4357.142857142857
434000.0,26282,Petrol,Pune,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,10,16.512574668036372,39454.545454545456,2389.2727272727275
872000.0000000001,5814,Petrol,Kolkata,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],5,149.95700773860707,145333.33333333334,969.0
650000.0,76810,Diesel,Kolkata,Skoda,Rapid Ultima Elegance 1.6 TDI CR MT,8,8.46232961424796,72222.22222222222,8534.444444444445
495000.0,63587,Diesel,Mumbai,Honda,Amaze 1.5 VX i-DTEC,10,7.784487639177203,45000.0,5780.636363636364
1525000.0,28000,Petrol,Kolkata,Kia,Seltos GTX Plus AT 1.4 [2019-2020],6,54.46234063069176,217857.14285714287,4000.0
499000.0,42637,Diesel,Bangalore,Honda,Amaze 1.5 S i-DTEC,11,11.703175571086824,41583.333333333336,3553.0833333333335
432000.0,52775,Petrol,Pune,Maruti Suzuki,Wagon R 1.0 VXI,8,8.185538881309686,48000.0,5863.888888888889
850000.0,21809,Petrol,Thane,Maruti Suzuki,Ciaz Zeta Hybrid 1.5 AT [2018-2020],6,38.97294818890417,121428.57142857143,3115.5714285714284
725000.0,45689,Petrol,Mumbai,Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,9,15.867804771284746,72500.0,4568.9
433000.0,34251,Petrol,Pune,Maruti Suzuki,Celerio ZXi [2017-2019],8,12.641597570944763,48111.11111111111,3805.6666666666665
720000.0,55000,CNG,Thane,Maruti Suzuki,Ertiga VXI CNG,9,13.09067107870766,72000.0,5500.0
925000.0,95004,Diesel,Hyderabad,Skoda,Rapid Ambition 1.6 TDI CR MT,7,9.736329666859639,115625.0,11875.5
1695000.0,20856,Diesel,Bangalore,Tata,Harrier XZ [2019-2020],6,81.26767991561586,242142.85714285713,2979.4285714285716
875000.0,11800,Petrol,Chennai,Maruti Suzuki,Dzire ZXi Plus AMT,5,74.14625879162783,145833.33333333334,1966.6666666666667
509999.99999999994,32897,Petrol,Pune,Maruti Suzuki,Baleno Delta 1.2,9,15.502462155754147,50999.99999999999,3289.7
565000.0,47107,Diesel,Delhi,Mahindra,TUV300 T8,9,11.993716566188333,56500.0,4710.7
