car_price,kilometers_driven,fuel_type,city,Company,Model,Age
849000.0,11178.0,Petrol,Bangalore,Tata,Altroz XZ Plus Petrol,4
849000.0,54031.0,Petrol,Hyderabad,Maruti Suzuki,Ciaz Delta 1.5,5
849000.0,30490.0,Petrol,Bangalore,Hyundai,Elite i20 Sportz 1.2,6
847000.0000000001,18535.0,Petrol,Pune,Toyota,Yaris J CVT [2018-2020],6
844999.9999999999,35829.0,Petrol,Mumbai,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],7
844999.9999999999,62769.0,Diesel,Mumbai,Maruti Suzuki,Vitara Brezza ZDi,7
844999.9999999999,22500.0,Petrol,Thane,Honda,City V,7
843000.0,9578.0,Petrol,Pune,Tata,Tiago NRG Petrol,3
842000.0,33197.0,Petrol,Chennai,Honda,Jazz ZX CVT,5
840000.0,13264.0,Petrol,Thane,Nissan,Magnite XV Premium Dual Tone,4
840000.0,45074.0,Petrol,Kolkata,Honda,City V,6
839000.0,40000.0,Petrol,Ahmedabad,Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,7
839000.0,14546.0,Petrol,Bangalore,Hyundai,Elite i20 Sportz 1.2,6
838000.0000000001,37622.0,Petrol,Chennai,Hyundai,Verna 1.6 VTVT SX,7
835000.0,40547.0,Petrol,Mumbai,Honda,City V,7
835000.0,47000.0,Diesel,Thane,BMW,X1 sDrive20d,14
832000.0,29726.0,Diesel,Delhi,Mahindra,Bolero Power Plus ZLX,6
831000.0,7432.0,Petrol,Chennai,Hyundai,Venue S Plus 1.2 Petrol,5
830000.0000000001,56468.0,Petrol,Ahmedabad,Honda,City V CVT Petrol [2017-2019],8
830000.0000000001,22024.0,Petrol,Thane,Hyundai,Elite i20 Asta 1.2 (O) CVT [2019-2020],6
830000.0000000001,35811.0,Petrol,Hyderabad,Hyundai,Elite i20 Sportz 1.2 [2016-2017],5
828999.9999999999,34766.0,Petrol,Mumbai,Hyundai,Creta E Plus 1.6 Petrol,8
828999.9999999999,35724.0,Petrol,Bangalore,Ford,EcoSport Titanium 1.5L Ti-VCT AT,8
827999.9999999999,78623.0,Petrol,Delhi,Hyundai,Creta 1.6 S Petrol,9
825000.0,30000.0,Petrol,Delhi,Ford,EcoSport Titanium 1.5 Ti-VCT AT,7
825000.0,40532.0,Petrol,Bangalore,Maruti Suzuki,Ciaz Alpha 1.4 MT,8
825000.0,51000.0,Alternative Fuel,Thane,Maruti Suzuki,Ertiga VXI CNG,8
825000.0,42071.0,Diesel,Bangalore,Ford,EcoSport Titanium 1.5L TDCi,9
825000.0,123000.0,Diesel,Hyderabad,Skoda,Rapid Style 1.5 TDI AT,8
825000.0,123000.0,Diesel,Hyderabad,Skoda,Rapid Style 1.5 TDI AT,8
825000.0,11106.0,Petrol,Kolkata,Volkswagen,Polo GT TSI,4
825000.0,62042.0,Petrol,Ahmedabad,Honda,City SV Petrol [2019-2020],6
825000.0,48174.0,Diesel,Thane,Maruti Suzuki,Vitara Brezza VDi,7
821000.0000000001,59706.0,Diesel,Mumbai,Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],9
819999.9999999999,26500.0,Diesel,Ambattur,Honda,City Anniversary Edition Diesel,7
819999.9999999999,27963.0,Petrol,Delhi,Honda,WR-V VX MT Petrol,7
815000.0,20580.0,Petrol,Kolkata,Honda,City V,6
