price_per_year,price_segment,car_price_in_rupees
37272.727272727265,Very Low,409999.99999999994
79714.28571428571,Low,558000.0
88285.71428571429,Medium,618000.0
92307.69230769231,Very High,1200000.0
34363.63636363636,Very Low,378000.0
198333.33333333334,Very High,1190000.0
85571.42857142857,Medium,599000.0
53636.36363636364,Medium,590000.0
111000.0,High,999000.0
51363.63636363636,Low,565000.0
45363.63636363636,Low,499000.0
183166.66666666666,Very High,1099000.0
108000.0,Low,540000.0
114125.00000000001,High,913000.0000000001
85750.0,Medium,686000.0
45833.333333333336,Low,550000.0
121000.00000000001,High,847000.0000000001
84375.0,Medium,675000.0
81250.0,Medium,650000.0
90111.11111111111,High,811000.0
58333.333333333336,Low,525000.0
61111.11111111111,Low,550000.0
118750.0,High,950000.0
28750.0,Very Low,345000.0
62777.77777777778,Low,565000.0
168000.0,High,840000.0
109375.0,High,875000.0
72222.22222222222,Medium,650000.0
57500.0,Medium,575000.0
153666.6666666667,High,922000.0000000001
48272.72727272727,Low,531000.0
40000.0,Very Low,400000.0
76900.0,High,769000.0
37500.0,Very Low,375000.0
60555.555555555555,Low,545000.0
153000.0,High,765000.0
262500.0,Very High,1050000.0
47916.666666666664,Medium,575000.0
45000.0,Low,450000.0
79900.0,High,799000.0
93307.69230769231,Very High,1213000.0
85625.0,Medium,685000.0
158166.66666666666,High,949000.0
39600.0,Very Low,396000.0
136285.71428571426,High,953999.9999999999
71666.66666666667,Medium,645000.0
90200.0,Low,451000.0
84636.36363636363,High,931000.0
50000.0,Low,500000.0
219000.0,Very High,1095000.0
85444.44444444444,High,769000.0
65000.0,Medium,585000.0
43181.818181818184,Low,475000.0
81500.0,Medium,652000.0
77625.0,Medium,621000.0
61500.0,Medium,615000.0
52777.77777777778,Low,475000.0
121666.66666666667,Medium,730000.0
243500.0,High,974000.0
127875.0,Very High,1023000.0
114285.71428571429,High,800000.0
280333.3333333333,Very High,1682000.0
32230.769230769234,Very Low,419000.00000000006
60875.0,Low,487000.0
45000.0,Low,450000.0
